Name,Link
Lifelong Graph Learning,https://github.com/wang-chen/LGL
LabelEnc: A New Intermediate Supervision Method for Object Detection,https://www.ecva.net/papers/eccv_2020/papers_ECCV/papers/123700528.pdf
Bipartite Graph Network with Adaptive Message Passing for Unbiased Scene Graph Generation,https://github.com/SHTUPLUS/PySGG
SimGNN: A Neural Network Approach to Fast Graph Similarity Computation,https://github.com/yunshengb/SimGNN
Incremental 3D Scene Graph Prediction from RGB-D Sequences,https://arxiv.org/pdf/2103.14898.pdf
